지점,지점명,일시,기온(°C),습도(%),
108,서울,2019-01-01 12:00,-2.8,47,36.00816
108,서울,2019-01-01 13:00,-1.5,49,37.35035
108,서울,2019-01-01 14:00,-1.7,51,36.77167
108,서울,2019-01-01 15:00,-1.5,46,37.8239
108,서울,2019-01-01 16:00,-0.9,45,38.73505
108,서울,2019-01-01 17:00,-1.8,48,37.12264
108,서울,2019-01-01 18:00,-2.7,45,36.47515
108,서울,2019-01-01 19:00,-3.2,45,35.8474
108,서울,2019-01-01 20:00,-3.9,42,35.51338
108,서울,2019-01-01 21:00,-4.6,36,35.78656
108,서울,2019-01-01 22:00,-5.4,43,33.47822
108,서울,2019-01-01 23:00,-6,48,31.7248
108,서울,2019-01-02 0:00,-6.7,50,30.4065
108,서울,2019-01-02 1:00,-7.2,52,29.32544
108,서울,2019-01-02 2:00,-7.8,54,28.09012
108,서울,2019-01-02 3:00,-8,55,27.599
108,서울,2019-01-02 4:00,-8.4,59,26.15256
108,서울,2019-01-02 5:00,-8.5,57,26.46745
108,서울,2019-01-02 6:00,-8.5,57,26.46745
108,서울,2019-01-02 7:00,-8.5,61,25.55885
108,서울,2019-01-02 8:00,-8.7,63,24.81781
108,서울,2019-01-02 9:00,-7.5,51,29.14525
108,서울,2019-01-02 10:00,-5.6,40,33.8264
108,서울,2019-01-02 11:00,-4.1,33,36.92053
108,서울,2019-01-02 12:00,-2.8,29,39.08112
108,서울,2019-01-02 13:00,-1.8,26,40.66068
108,서울,2019-01-02 14:00,-0.2,22,42.94844
108,서울,2019-01-02 15:00,0,23,43.011
108,서울,2019-01-02 16:00,0,22,43.154
108,서울,2019-01-02 17:00,-1,32,40.5972
108,서울,2019-01-02 18:00,-2.6,37,37.95062
108,서울,2019-01-02 19:00,-3.3,39,36.77587
108,서울,2019-01-02 20:00,-3.9,43,35.33177
108,서울,2019-01-02 21:00,-4.4,44,34.52736
108,서울,2019-01-02 22:00,-4.3,47,34.09521
108,서울,2019-01-02 23:00,-4.6,47,33.71262
108,서울,2019-01-03 0:00,-5.4,46,32.88884
108,서울,2019-01-03 1:00,-6.1,48,31.59628
108,서울,2019-01-03 2:00,-7,53,29.3781
108,서울,2019-01-03 3:00,-7.5,51,29.14525
108,서울,2019-01-03 4:00,-7.7,53,28.44381
108,서울,2019-01-03 5:00,-8,57,27.1546
108,서울,2019-01-03 6:00,-8.1,54,27.68674
108,서울,2019-01-03 7:00,-8.3,58,26.51714
108,서울,2019-01-03 8:00,-8.4,56,26.83104
108,서울,2019-01-03 9:00,-7.7,43,30.63611
108,서울,2019-01-03 10:00,-4.8,33,36.12484
108,서울,2019-01-03 11:00,-2.4,30,39.3532
108,서울,2019-01-03 12:00,-0.4,26,42.15504
108,서울,2019-01-03 13:00,1.1,22,44.28458
108,서울,2019-01-03 14:00,2.4,20,45.8592
108,서울,2019-01-03 15:00,2.9,20,46.3632
108,서울,2019-01-03 16:00,3.2,19,46.77692
108,서울,2019-01-03 17:00,1.5,20,44.952
108,서울,2019-01-03 18:00,-0.4,22,42.74288
108,서울,2019-01-03 19:00,-0.9,24,41.92516
108,서울,2019-01-03 20:00,-1.7,45,37.73065
108,서울,2019-01-03 21:00,-2.7,47,36.13569
108,서울,2019-01-03 22:00,-3.3,42,36.24886
108,서울,2019-01-03 23:00,-3.9,41,35.69499
108,서울,2019-01-04 0:00,-3.9,47,34.60533
108,서울,2019-01-04 1:00,-4.1,46,34.53386
108,서울,2019-01-04 2:00,-4.5,44,34.4028
108,서울,2019-01-04 3:00,-4.9,47,33.33003
108,서울,2019-01-04 4:00,-5.2,50,32.364
108,서울,2019-01-04 5:00,-5.5,47,32.56485
108,서울,2019-01-04 6:00,-5.8,50,31.581
108,서울,2019-01-04 7:00,-6,55,30.308
108,서울,2019-01-04 8:00,-6.1,54,30.37594
108,서울,2019-01-04 9:00,-5.4,49,32.29946
108,서울,2019-01-04 10:00,-3.5,40,36.359
108,서울,2019-01-04 11:00,-1.5,37,39.24455
108,서울,2019-01-04 12:00,-0.4,34,40.97936
108,서울,2019-01-04 13:00,1.1,40,41.9066
108,서울,2019-01-04 14:00,3.1,36,44.76784
108,서울,2019-01-04 15:00,3.9,40,45.2834
108,서울,2019-01-04 16:00,3,49,43.1783
108,서울,2019-01-04 17:00,2.7,61,41.39453
108,서울,2019-01-04 18:00,2.3,69,39.86713
108,서울,2019-01-04 19:00,1.5,74,38.0319
108,서울,2019-01-04 20:00,1.4,75,37.7485
108,서울,2019-01-04 21:00,1.4,75,37.7485
108,서울,2019-01-04 22:00,0.7,79,36.11747
108,서울,2019-01-04 23:00,0.1,81,34.87819
108,서울,2019-01-05 0:00,-0.2,80,34.5396
108,서울,2019-01-05 1:00,-0.4,81,34.07224
108,서울,2019-01-05 2:00,-1.5,75,33.24625
108,서울,2019-01-05 3:00,-2.2,75,32.1595
108,서울,2019-01-05 4:00,-2.9,65,32.78985
108,서울,2019-01-05 5:00,-3.8,61,32.20418
108,서울,2019-01-05 6:00,-4.5,58,31.7771
108,서울,2019-01-05 7:00,-4.6,50,33.147
108,서울,2019-01-05 8:00,-4.5,46,34.0277
108,서울,2019-01-05 9:00,-4.7,47,33.58509
108,서울,2019-01-05 10:00,-4,45,34.843
108,서울,2019-01-05 11:00,-2.8,38,37.54464
108,서울,2019-01-05 12:00,-2,34,39.1448
108,서울,2019-01-05 13:00,-0.7,30,41.2351
108,서울,2019-01-05 14:00,-0.5,25,42.19625
108,서울,2019-01-05 15:00,0.6,20,44.0448
108,서울,2019-01-05 16:00,0.4,21,43.70416
108,서울,2019-01-05 17:00,-0.3,21,42.99163
108,서울,2019-01-05 18:00,-1.5,23,41.45445
108,서울,2019-01-05 19:00,-2.1,26,40.34046
108,서울,2019-01-05 20:00,-2.6,28,39.46928
108,서울,2019-01-05 21:00,-2.9,28,39.14312
108,서울,2019-01-05 22:00,-3.9,31,37.51109
108,서울,2019-01-05 23:00,-4.8,35,35.7438
108,서울,2019-01-06 0:00,-5.5,37,34.53935
108,서울,2019-01-06 1:00,-6,37,33.9512
108,서울,2019-01-06 2:00,-6.3,38,33.39294
108,서울,2019-01-06 3:00,-5.9,37,34.06883
108,서울,2019-01-06 4:00,-5.7,35,34.70295
108,서울,2019-01-06 5:00,-5.6,36,34.62016
108,서울,2019-01-06 6:00,-5.4,35,35.0499
108,서울,2019-01-06 7:00,-5.3,38,34.57914
108,서울,2019-01-06 8:00,-5.7,39,33.90523
108,서울,2019-01-06 9:00,-5.2,38,34.69776
108,서울,2019-01-06 10:00,-4.2,35,36.4377
108,서울,2019-01-06 11:00,-1.3,31,40.41503
108,서울,2019-01-06 12:00,0.2,28,42.51344
108,서울,2019-01-06 13:00,1.6,21,44.92564
108,서울,2019-01-06 14:00,1.8,22,45.00404
108,서울,2019-01-06 15:00,2.1,21,45.43459
108,서울,2019-01-06 16:00,2.5,22,45.7235
108,서울,2019-01-06 17:00,0.8,28,43.16576
108,서울,2019-01-06 18:00,-0.9,28,41.31752
108,서울,2019-01-06 19:00,-1.7,35,39.32895
108,서울,2019-01-06 20:00,-2.3,48,36.48004
108,서울,2019-01-06 21:00,-3.1,48,35.45188
108,서울,2019-01-06 22:00,-3.7,49,34.50113
108,서울,2019-01-06 23:00,-3.8,48,34.55224
108,서울,2019-01-07 0:00,-4.1,45,34.71745
108,서울,2019-01-07 1:00,-4.3,51,33.35293
108,서울,2019-01-07 2:00,-4.5,55,32.33975
108,서울,2019-01-07 3:00,-4.9,56,31.60644
108,서울,2019-01-07 4:00,-5.2,57,31.00264
108,서울,2019-01-07 5:00,-5.5,59,30.19545
108,서울,2019-01-07 6:00,-5.9,57,30.04063
108,서울,2019-01-07 7:00,-6.2,56,29.83272
108,서울,2019-01-07 8:00,-6,52,30.9152
108,서울,2019-01-07 9:00,-5.4,51,31.90654
108,서울,2019-01-07 10:00,-2.3,46,36.81158
108,서울,2019-01-07 11:00,-0.5,40,39.977
108,서울,2019-01-07 12:00,0.6,33,42.26302
108,서울,2019-01-07 13:00,1.4,31,43.43066
108,서울,2019-01-07 14:00,1.7,34,43.38722
108,서울,2019-01-07 15:00,2.6,34,44.41916
108,서울,2019-01-07 16:00,2.7,31,44.88263
108,서울,2019-01-07 17:00,1.7,29,44.01807
108,서울,2019-01-07 18:00,0.6,34,42.12596
108,서울,2019-01-07 19:00,0.2,41,40.68018
108,서울,2019-01-07 20:00,-0.3,55,38.02865
108,서울,2019-01-07 21:00,-0.6,63,36.43078
108,서울,2019-01-07 22:00,-1.4,64,35.12696
108,서울,2019-01-07 23:00,-1.9,52,36.34688
108,서울,2019-01-08 0:00,-2.2,43,37.43246
108,서울,2019-01-08 1:00,-2.5,46,36.5585
108,서울,2019-01-08 2:00,-2.6,39,37.61314
108,서울,2019-01-08 3:00,-3.1,34,37.88354
108,서울,2019-01-08 4:00,-4.2,36,36.25312
108,서울,2019-01-08 5:00,-4.9,38,35.05362
108,서울,2019-01-08 6:00,-5.3,38,34.57914
108,서울,2019-01-08 7:00,-5.4,40,34.0676
108,서울,2019-01-08 8:00,-5.6,42,33.42952
108,서울,2019-01-08 9:00,-4.6,40,35.0324
108,서울,2019-01-08 10:00,-2.9,36,37.76944
108,서울,2019-01-08 11:00,-2.1,32,39.35772
108,서울,2019-01-08 12:00,-0.9,27,41.46943
108,서울,2019-01-08 13:00,-0.2,26,42.36852
108,서울,2019-01-08 14:00,-0.4,23,42.59592
108,서울,2019-01-08 15:00,0.3,20,43.7424
108,서울,2019-01-08 16:00,0.2,23,43.21854
108,서울,2019-01-08 17:00,-0.8,21,42.48268
108,서울,2019-01-08 18:00,-2,21,41.2612
108,서울,2019-01-08 19:00,-3.2,21,40.03972
108,서울,2019-01-08 20:00,-5,32,36.09
108,서울,2019-01-08 21:00,-5.7,34,34.90238
108,서울,2019-01-08 22:00,-6.6,35,33.6621
108,서울,2019-01-08 23:00,-7.1,34,33.29714
108,서울,2019-01-09 0:00,-7,34,33.4118
108,서울,2019-01-09 1:00,-7.5,34,32.8385
108,서울,2019-01-09 2:00,-7.7,34,32.60918
108,서울,2019-01-09 3:00,-7.6,31,33.37856
108,서울,2019-01-09 4:00,-8.3,32,32.37156
108,서울,2019-01-09 5:00,-8.8,33,31.57804
108,서울,2019-01-09 6:00,-9.2,35,30.6552
108,서울,2019-01-09 7:00,-9.3,36,30.30448
108,서울,2019-01-09 8:00,-9.3,37,30.06941
108,서울,2019-01-09 9:00,-8.6,35,31.3491
108,서울,2019-01-09 10:00,-6.2,31,34.94222
108,서울,2019-01-09 11:00,-3.6,27,38.56072
108,서울,2019-01-09 12:00,-2.4,25,40.187
108,서울,2019-01-09 13:00,-1.9,23,41.03937
108,서울,2019-01-09 14:00,-0.8,20,42.6336
108,서울,2019-01-09 15:00,0.7,19,44.28167
108,서울,2019-01-09 16:00,0.8,20,44.2464
108,서울,2019-01-09 17:00,-0.4,22,42.74288
108,서울,2019-01-09 18:00,-2,24,40.7728
108,서울,2019-01-09 19:00,-2.8,27,39.42256
108,서울,2019-01-09 20:00,-3.4,29,38.42286
108,서울,2019-01-09 21:00,-4,30,37.582
108,서울,2019-01-09 22:00,-4.2,30,37.3606
108,서울,2019-01-09 23:00,-4.4,30,37.1392
108,서울,2019-01-10 0:00,-4.3,31,37.06433
108,서울,2019-01-10 1:00,-4.1,31,37.28771
